tweet_text,recipient,emotion,brand,tweet_length,lemmatized_review,emotion_code
"['user', '3g', 'iphone', '3', 'hr', 'tweeting', 'riseaustin', 'dead', 'need', 'upgrade', 'plugin', 'station', 'sxsw']",iPhone,Negative,Apple,23,user 3g iphone 3 hr tweeting riseaustin dead need upgrade plugin station sxsw,0
"['user', 'know', 'user', 'awesome', 'ipadiphone', 'app', 'likely', 'appreciate', 'design', 'also', 'giving', 'free', 't', 'sxsw']",iPad or iPhone App,Positive,Apple,22,user know user awesome ipadiphone app likely appreciate design also giving free t sxsw,2
"['user', 'wait', 'ipad', '2', 'also', 'sale', 'sxsw']",iPad,Positive,Apple,15,user wait ipad 2 also sale sxsw,2
"['user', 'hope', 'year', 'festival', 'crashy', 'year', 'iphone', 'app', 'sxsw']",iPad or iPhone App,Negative,Apple,15,user hope year festival crashy year iphone app sxsw,0
"['user', 'great', 'stuff', 'fri', 'sxsw', 'marissa', 'mayer', 'google', 'tim', 'oreilly', 'tech', 'booksconferences', 'amp', 'matt', 'mullenweg', 'wordpress']",Google,Positive,Google,17,user great stuff fri sxsw marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress,2
"['user', 'new', 'ipad', 'apps', 'speechtherapy', 'communication', 'showcased', 'sxsw', 'conference', 'iear', 'edchat', 'asd']",none,Neutral,none,18,user new ipad apps speechtherapy communication showcased sxsw conference iear edchat asd,1
"['sxsw', 'starting', 'ctia', 'around', 'corner', 'googleio', 'hop', 'skip', 'jump', 'good', 'time', 'android', 'fan']",Android,Positive,Google,28,sxsw starting ctia around corner googleio hop skip jump good time android fan,2
"['beautifully', 'smart', 'simple', 'idea', 'rt', 'user', 'user', 'wrote', 'hollergram', 'ipad', 'app', 'sxsw']",iPad or iPhone App,Positive,Apple,17,beautifully smart simple idea rt user user wrote hollergram ipad app sxsw,2
"['counting', 'day', 'sxsw', 'plus', 'strong', 'canadian', 'dollar', 'mean', 'stock', 'apple', 'gear']",Apple,Positive,Apple,16,counting day sxsw plus strong canadian dollar mean stock apple gear,2
"['excited', 'meet', 'user', 'sxsw', 'show', 'sprint', 'galaxy', 'still', 'running', 'android', '21', 'fail']",Android,Positive,Google,21,excited meet user sxsw show sprint galaxy still running android 21 fail,2
"['find', 'amp', 'start', 'impromptu', 'party', 'sxsw', 'user', 'wait', 'til', 'android', 'app', 'come']",Android App,Positive,Google,19,find amp start impromptu party sxsw user wait til android app come,2
"['foursquare', 'ups', 'game', 'time', 'sxsw', 'still', 'prefer', 'user', 'far', 'best', 'looking', 'android', 'app', 'date']",Android App,Positive,Google,22,foursquare ups game time sxsw still prefer user far best looking android app date,2
"['got', 'love', 'sxsw', 'google', 'calendar', 'featuring', 'top', 'party', 'show', 'case', 'check', 'rt', 'user', 'via', 'user', 'gt']",Other Google product or service,Positive,,19,got love sxsw google calendar featuring top party show case check rt user via user gt,2
"['great', 'sxsw', 'ipad', 'app', 'user']",iPad or iPhone App,Positive,Apple,7,great sxsw ipad app user,2
"['haha', 'awesomely', 'rad', 'ipad', 'app', 'user', 'hollergram', 'sxsw']",iPad or iPhone App,Positive,Apple,10,haha awesomely rad ipad app user hollergram sxsw,2
